LCSC Part Number,product_url,name,brand,sku,description,price,currency,image_url
C5280827,https://www.lcsc.com/product-detail/C5280827.html,Xinyangze YZ00415040R-02025-01,Xinyangze,C5280827,Pogo Pin 2 Position 2.5mm Pitch 4mm Length 1A 12V,0.5404,USD,https://assets.lcsc.com/images/lcsc/900x900/20230125_Xinyangze-YZ00415040R-02025-01_C5280827_front.jpg
C5280828,https://www.lcsc.com/product-detail/C5280828.html,Xinyangze YZT0755-20028-02025-01,Xinyangze,C5280828,Magnetic Spring Pogo Pin Receptacle 2 Position 2.5mm Pitch 2.8mm Length,0.5883,USD,https://assets.lcsc.com/images/lcsc/900x900/20230125_Xinyangze-YZT0755-20028-02025-01_C5280828_front.jpg
C1523,https://www.lcsc.com/product-detail/C1523.html,FH 0402B102K500NT,FH,C1523,1nF ±10% 50V Ceramic Capacitor X7R 0402,0.0006,USD,https://assets.lcsc.com/images/lcsc/900x900/20221227_FH--Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523_front.jpg
C17168,https://www.lcsc.com/product-detail/C17168.html,UNI-ROYAL 0402WGF0000TCE,UNI-ROYAL,C17168,0Ω ±1% 62.5mW 0402 Thick Film Resistor,0.0006,USD,https://assets.lcsc.com/images/lcsc/900x900/20221228_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168_front.jpg
C11702,https://www.lcsc.com/product-detail/C11702.html,UNI-ROYAL 0402WGF1001TCE,UNI-ROYAL,C11702,1kΩ ±1% 62.5mW 0402 Thick Film Resistor,0.0004,USD,https://assets.lcsc.com/images/lcsc/900x900/20251111_UNI-ROYAL-0402WGF1001TCE_C11702_front.jpg
C25744,https://www.lcsc.com/product-detail/C25744.html,UNI-ROYAL 0402WGF1002TCE,UNI-ROYAL,C25744,10kΩ ±1% 62.5mW 0402 Thick Film Resistor,0.0005,USD,https://assets.lcsc.com/images/lcsc/900x900/20221229_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744_front.jpg
C26083,https://www.lcsc.com/product-detail/C26083.html,UNI-ROYAL 0402WGF1004TCE,UNI-ROYAL,C26083,1MΩ ±1% 62.5mW 0402 Thick Film Resistor,0.0004,USD,https://assets.lcsc.com/images/lcsc/900x900/20221229_UNI-ROYAL-Uniroyal-Elec-0402WGF1004TCE_C26083_front.jpg
C25077,https://www.lcsc.com/product-detail/C25077.html,UNI-ROYAL 0402WGF100JTCE,UNI-ROYAL,C25077,10Ω ±1% 62.5mW 0402 Thick Film Resistor,0.0004,USD,https://assets.lcsc.com/images/lcsc/900x900/20251009_UNI-ROYAL-0402WGF100JTCE_C25077_front.jpg
C25764,https://www.lcsc.com/product-detail/C25764.html,UNI-ROYAL 0402WGF2003TCE,UNI-ROYAL,C25764,200kΩ ±1% 62.5mW 0402 Thick Film Resistor,0.0004,USD,https://assets.lcsc.com/images/lcsc/900x900/20221229_UNI-ROYAL-Uniroyal-Elec-0402WGF2003TCE_C25764_front.jpg
C43473,https://www.lcsc.com/product-detail/C43473.html,UNI-ROYAL 0402WGF2212TCE,UNI-ROYAL,C43473,22.1kΩ ±1% 62.5mW 0402 Thick Film Resistor,0.0004,USD,https://assets.lcsc.com/images/lcsc/900x900/20230324_UNI-ROYAL-Uniroyal-Elec-0402WGF2212TCE_C43473_front.jpg
